X (meters),Y (meters),Wall Info
73.54942097328603,60.48172947857529,Left
71.14107054658234,53.52091726567596,Left
73.29838327877223,55.76017895480618,Left
68.95323289558291,52.159229424316436,Left
58.26047371700406,47.49243473308161,Left
53.12890011258423,47.047096656635404,Left
62.70950633473694,49.09960542805493,Left
48.55338294990361,45.24524153070524,Left
48.764120765030384,45.80951223615557,Left
48.831426756456494,43.87748455023393,Left
55.604849303141236,41.50104274041951,Left
51.12000075355172,42.98321055294946,Left
59.58537380769849,40.31566604785621,Left
63.586578130722046,41.07253839774057,Left
63.041628032922745,40.23932536691427,Left
63.264720087870955,42.176598427817225,Left
67.86214047297835,50.06895328965038,Left
63.32546490803361,47.59465719386935,Left
71.33120646327734,51.70836099656299,Left
87.08044756948948,43.98718100273982,Left
83.67285777069628,48.107181035447866,Left
88.29376990906894,42.29135880386457,Left
80.96816483512521,50.995397507213056,Left
89.93419062159956,40.932461742311716,Left
85.54140662774444,45.874916889704764,Left
91.61025027185678,31.269312118645757,Left
92.48576582036912,34.84018200915307,Left
91.34779898449779,29.495133243966848,Left
84.8051473069936,23.241726339794695,Left
87.99457094818354,24.879807117860764,Left
80.62385031208396,20.94636630639434,Left
73.19031097739935,20.173047615215182,Left
69.79163007438183,20.57113724667579,Left
77.24060608260334,19.857220862060785,Left
64.97477336786687,20.846087482757866,Left
63.8229327891022,20.11031017638743,Left
66.34805290773511,20.979110934305936,Left
62.60840151831508,12.343204213306308,Left
63.39465108141303,9.515173737891018,Left
62.42907361313701,15.865568862762302,Left
10.033116614446044,39.46373464446515,Right
9.304344642907381,38.366708892863244,Right
11.149437371641397,39.874982240609825,Right
40.212781235575676,8.857822125777602,Right
37.29539237730205,9.739609416108578,Right
42.31943469308317,8.691253659315407,Right
49.54520955681801,11.02013644343242,Right
46.897776030004025,9.568587055895478,Right
50.94203650765121,12.1934705930762,Right
52.99573417007923,18.092161279171705,Right
52.74970918893814,15.681640119757503,Right
52.73702099919319,19.28788957092911,Right
20.97461696714163,53.38021499617025,Right
19.231037594377995,53.816718756221235,Right
23.85077865049243,53.401489263400435,Right
18.85545676574111,59.0181920947507,Right
17.34673591144383,57.004479279741645,Right
21.886273505166173,60.60159051325172,Right
29.087912077084184,58.87021843530238,Right
27.743649072945118,61.06070882920176,Right
30.136785469949245,57.24640436284244,Right
35.227725230157375,54.222061965148896,Right
49.312595238909125,55.409249825403094,Right
43.81620762497187,54.159714145585895,Right
54.82061907462776,58.071021302137524,Right
62.64007636718452,60.49542734120041,Right
60.8660210557282,61.41728964820504,Right
63.07449622824788,59.369724575430155,Right
58.13190415687859,55.697189934551716,Right
61.50488361530006,57.17996443808079,Right
55.90487314015627,54.423324265517294,Right
48.56820625439286,53.008139616344124,Right
50.02309745363891,53.13416218524799,Right
46.58181346580386,52.86369255837053,Right
40.328192830085754,49.2091015051119,Right
42.11197857558727,51.2017092583701,Right
39.36430184915662,46.724274585954845,Right
40.94145078957081,40.034214752260596,Right
39.83527234941721,41.70833521569148,Right
42.48446917720139,38.33039202261716,Right
54.28897165879607,33.867499015294015,Right
49.812858348712325,35.51134169055149,Right
57.55559313483536,32.94568234868348,Right
66.30517598055303,33.37171539897099,Right
71.9533566236496,38.79410337982699,Right
71.96949015930295,42.745393158867955,Right
77.34356436692178,43.46827521501109,Right
82.13181084953249,36.848425697535276,Right
79.52603085152805,40.16097759595141,Right
80.59724606759846,29.845366626046598,Right
78.25024492107332,28.39314820896834,Right
83.24971012026072,31.19298368319869,Right
69.86342335492373,27.70783982006833,Right
72.57094491273165,27.27385299280286,Right
67.49714501574636,28.12550609605387,Right
60.75230931118131,26.480560244992375,Right
58.906490778550506,25.465173980686814,Right
62.47968056611717,27.346611411776394,Right
56.11657720990479,22.38568724785,Right
18.77226771041751,45.346780490130186,Left
16.057786451652646,46.99177754856646,Left
21.089637830853462,42.87156934849918,Left
20.330298639833927,43.58560261921957,Left
22.0464043635875,41.69535091146827,Left
24.03655084222555,39.268114016857,Left
26.437026530504227,35.97427158523351,Left
28.643570309504867,33.19554117321968,Left
29.743278859183192,31.510417891200632,Left
31.58133953809738,28.566272280644625,Left
32.754508934915066,26.819565942976624,Left
34.536725075915456,24.1043878281489,Left
36.065819622948766,22.00579278776422,Left
37.738308142870665,20.048857365269214,Left
38.927073396742344,18.4164215978235,Left
43.76145067811012,19.651733986567706,Left
43.16373625770211,20.140781661029905,Left
